date, pm25, pm10, o3, no2, so2, co
2023/1/27, 52, 32, 16, 14, 3, 
2023/1/28, 43, 21, 14, 13, 3, 
2023/1/29, 45, 26, 20, 10, 3, 
2023/1/30, 50, 38, 16, 17, 3, 
2023/1/31, 48, 46, 12, 23, 2, 
2023/2/1, 51, 50, 12, 21, , 
2023/2/2, 55, 50, 11, 21, , 
2023/2/3, 61, 62, 16, 24, 1, 
2023/2/4, 60, 51, , 15, , 
2023/2/5, 57, 32, 24, 15, , 
2023/2/6, 48, 24, 27, 9, , 
2023/2/7, 25, 25, 27, 12, , 
2023/2/8, 27, 24, 25, 13, , 
2023/2/9, 31, 26, 17, 21, , 
2023/2/10, 45, 22, 22, 20, , 
2023/2/11, 58, 20, 32, 19, , 
2023/2/12, 52, 22, 26, 22, , 
2023/2/13, 55, 26, 26, 19, , 
2023/2/14, 66, 20, 23, 24, , 
2023/2/15, 55, 22, 18, 29, , 
2023/2/16, 54, 32, 17, 34, , 
2023/2/17, 67, 38, 26, 28, , 
2023/2/18, 68, 32, 23, 28, , 
2023/2/19, 62, 37, 28, 28, 1, 
2023/2/20, 66, 32, 22, 25, , 
2023/2/21, 83, 26, 24, 19, , 
2023/2/22, 72, 24, 28, 21, , 
2023/2/23, 62, 24, 27, 11, , 
2023/2/24, 46, 17, 17, 12, , 
2023/2/25, 34, 13, 24, 10, , 
2023/2/26, 32, 10, 25, 13, , 
2023/2/27, 24, 14, 22, 13, , 
2023/2/28, 31, 18, 23, 16, , 
2023/3/1, 36, 20, 22, 20, , 
2023/3/2, 50, 22, 17, 24, , 
2023/3/3, 66, 22, 28, 15, , 
2023/3/4, 70, 23, 32, 18, , 
2023/3/5, 61, 22, 26, 24, , 
2023/3/6, 59, 26, 24, 27, , 
2023/3/7, 60, 23, 21, 20, , 
2023/3/8, 46, 22, 24, 20, , 
2023/3/9, 27, 17, 27, 10, , 
2023/3/10, 18, 23, 27, 9, , 
2023/3/11, 19, 13, 22, 11, , 
2023/3/12, 22, 18, 23, 16, , 
2023/3/13, 33, 17, 28, 10, , 
2023/3/14, 26, 19, 23, 16, , 
2023/3/15, 19, 22, 25, 23, , 
2023/3/16, 34, 20, 33, 13, , 
2023/3/17, 26, 27, 31, 13, , 
2023/3/18, 31, 23, 31, 9, , 
2023/3/19, 36, 12, 30, 14, , 
2023/3/20, 17, 17, 25, 11, , 
2023/3/21, 26, 22, 31, 12, , 
2023/3/22, 48, 26, 35, 11, , 
2023/3/23, 63, 27, 29, 17, , 
2023/3/24, 55, 27, 29, 11, , 
2023/3/25, 40, 23, 32, 11, , 
2023/3/26, 27, 24, 33, 12, , 
2023/3/27, 18, 22, 29, 11, , 
2023/3/28, 21, 23, 32, 10, , 
2023/3/29, 24, 24, 33, 16, , 
2023/3/30, 30, 28, 27, 15, , 
2022/10/1, 16, 27, 26, 11, , 
2022/10/2, 15, 25, 32, 14, , 
2022/10/3, 22, 31, 22, 18, , 
2022/10/4, 19, 30, 24, 17, , 
2022/10/5, 23, 33, 26, 16, , 
2022/10/6, 23, 31, 15, 22, , 
2022/10/7, 31, 23, 24, 13, , 
2022/10/8, 32, 25, 18, 17, , 
2022/10/9, 43, 30, 25, 17, , 
2022/10/10, 51, 30, 25, 17, , 
2022/10/11, 46, 26, 28, 12, , 
2022/10/12, 39, 28, 26, 16, , 
2022/10/13, 43, 36, 27, 23, , 
2022/10/14, 47, 33, 31, 13, , 
2022/10/15, 56, 30, 17, 24, , 
2022/10/16, 49, 32, 22, 16, , 
2022/10/17, 45, 46, 15, 21, , 
2022/10/18, 59, 63, 15, 23, , 
2022/10/19, 76, 67, 16, 24, , 
2022/10/20, 79, 58, 18, 17, , 
2022/10/21, 70, 44, 17, 15, , 
2022/10/22, 45, 39, 17, 18, , 
2022/10/23, 33, 56, 14, 19, , 
2022/10/24, 56, 57, 17, 30, , 
2022/10/25, 38, 65, 9, 34, , 
2022/10/26, 60, 62, 26, 25, , 
2022/10/27, 65, 48, 24, 26, 1, 
2022/10/28, 73, 50, 24, 26, 1, 
2022/10/29, 74, 53, 20, 23, , 
2022/10/30, 71, 54, 19, 26, 1, 
2022/10/31, 67, 47, 23, 13, , 
2022/11/1, 58, 27, 16, 12, 1, 
2022/11/2, 37, 35, 10, 17, 1, 
2022/11/3, 33, 37, 4, 6, 1, 
2022/11/4, 27, 34, , , 1, 
2022/11/5, 15, 36, , , , 
2022/11/6, 22, 38, , , , 
2022/11/7, 23, 47, 17, 28, , 
2022/11/8, 29, 46, 13, 25, , 
2022/11/9, 40, 34, 13, 20, , 
2022/11/10, 28, 25, 20, 21, 1, 
2022/11/11, 19, 30, 22, 16, 1, 
2022/11/12, 34, 26, 18, 18, 1, 
2022/11/13, 52, 27, 14, 24, 1, 
2022/11/14, 51, 39, 10, 28, 2, 
2022/11/15, 50, 29, 15, 19, 1, 
2022/11/16, 28, 22, 19, 20, 1, 
2022/11/17, 15, 28, 17, 21, 1, 
2022/11/18, 17, 21, 19, 12, , 
2022/11/19, 17, 17, 18, 19, , 
2022/11/20, 13, 27, 22, 23, , 
2022/11/21, 21, 24, 25, 9, , 
2022/11/22, 14, 25, 14, 26, , 
2022/11/23, 15, 37, 9, 32, , 
2022/11/24, 28, 39, 11, 26, , 
2022/11/25, 32, 25, 13, 21, , 
2022/11/26, 23, 29, 16, 24, , 
2022/11/27, 28, 24, 10, 23, , 
2022/11/28, 31, 20, 16, 19, , 
2022/11/29, 21, 28, 11, 27, , 
2022/11/30, 27, 29, 10, 22, , 
2022/12/1, 31, 25, 10, 24, , 
2022/12/2, 28, 29, 16, 22, , 
2022/12/3, 40, 22, 14, 15, , 
2022/12/4, 45, 20, 12, 24, , 
2022/12/5, 36, 24, 16, 19, , 
2022/12/6, 40, 33, 4, 27, , 
2022/12/7, 68, 39, 2, 24, , 
2022/12/8, 79, 26, 11, 26, , 
2022/12/9, 61, 19, 21, 13, , 
2022/12/10, 24, 13, 21, 14, , 
2022/12/11, 19, 18, 14, 18, , 
2022/12/12, 31, 28, 6, 33, 1, 
2022/12/13, 38, 37, 7, 24, , 
2022/12/14, 52, 23, 10, 24, , 
2022/12/15, 30, 22, 13, 19, , 
2022/12/16, 19, 20, 5, 19, , 
2022/12/17, 28, 21, 13, 19, , 
2022/12/18, 45, 31, 9, 30, , 
2022/12/19, 49, 33, 10, 29, , 
2022/12/20, 47, 28, 9, 22, , 
2022/12/21, 47, 26, 10, 21, , 
2022/12/22, 36, 23, 15, 15, , 
2022/12/23, 19, 16, 13, 16, , 
2022/12/24, 15, 24, 13, 18, , 
2022/12/25, 29, 28, 11, 24, , 
2022/12/26, 44, 38, 11, 23, , 
2022/12/27, 48, 38, 10, 20, , 
2022/12/28, 54, 40, 8, 23, , 
2022/12/29, 52, 40, 12, 16, , 
2022/12/30, 34, 28, 12, 16, , 
2022/12/31, 25, 38, 12, 17, , 
2023/1/1, 52, 51, 4, 25, , 
2022/7/12, 36, 30, 34, 29, , 
2022/7/13, 29, 31, 28, 30, , 
2022/7/14, 28, 31, 24, 24, , 
2022/7/15, 31, 36, 34, 36, , 
2022/7/16, 34, 42, 47, 33, , 
2022/7/20, 46, 37, 31, 18, , 
2022/7/21, 61, 47, 32, 19, , 
2022/7/22, 62, 49, 27, 17, , 
2022/7/23, 75, 40, 23, 16, 1, 
2022/7/24, 123, 33, 27, 10, 1, 
2022/7/25, 82, , 30, 18, 1, 
2022/7/26, 69, 39, 22, 13, 1, 
2022/7/27, 78, 41, 24, 13, , 
2022/7/28, 66, 37, 22, 17, , 
2022/7/29, 64, 39, 28, 16, , 
2022/7/30, 50, 32, 34, 17, , 
2022/7/31, 34, 27, 30, 13, , 
2022/8/1, 32, 28, 28, 17, , 
2022/8/2, 35, 35, 31, 15, , 
2022/8/3, 35, 32, 32, 15, , 
2022/8/4, 35, 31, 30, 17, , 
2022/8/5, 46, 36, 30, 14, 1, 
2022/8/6, 37, 39, 37, 26, 2, 
2022/8/7, 35, 27, 37, 19, 1, 
2022/8/8, 27, 26, 38, 22, 1, 
2022/8/9, 37, 32, 46, 28, , 
2022/8/10, 34, 30, 36, 17, , 
2022/8/11, 35, 34, 36, 18, , 
2022/8/12, 48, 32, 36, 11, , 
2022/8/13, 69, 38, 34, 17, , 
2022/8/14, 86, 42, 34, 11, , 
2022/8/15, 63, 43, 38, 9, , 
2022/8/16, 55, 32, 33, 16, , 
2022/8/17, 81, 36, 32, 15, 1, 
2022/8/18, 53, 30, 23, 11, 1, 
2022/8/19, 23, 18, 36, 15, 1, 
2022/8/20, 19, 19, 32, 9, 1, 
2022/8/21, 27, 19, 28, 10, 1, 
2022/8/22, 40, 28, 22, 14, , 
2022/8/23, 35, 28, 26, 13, , 
2022/8/25, 23, 24, 28, 11, , 
2022/8/26, 22, 23, 31, 12, , 
2022/8/28, 21, 23, 34, 9, , 
2022/8/29, 23, 23, 31, 13, , 
2022/8/30, 28, 29, 28, 14, , 
2022/8/31, 37, 35, 22, 20, , 
2022/9/1, 29, 27, 31, 26, , 
2022/9/2, 44, 30, 25, 20, , 
2022/9/3, 50, 33, 32, 11, , 
2022/9/4, 52, 32, 26, 9, , 
2022/9/5, 53, 36, 21, 13, , 
2022/9/7, 48, 44, 24, 19, , 
2022/9/8, 38, 37, 30, 18, , 
2022/9/9, 30, 31, 28, 15, , 
2022/9/10, 23, 26, 25, 12, , 
2022/9/11, 23, 24, 23, 13, , 
2022/9/12, 23, 27, 4, 18, , 
2022/9/13, 25, 33, 14, 19, , 
2022/9/14, 32, 35, 18, 16, , 
2022/9/15, 34, 36, 23, 22, , 
2022/9/16, 28, 29, 21, 21, , 
2022/9/17, 28, 23, 24, 14, , 
2022/9/18, 26, 23, 28, 13, , 
2022/9/19, 29, 25, 27, 17, , 
2022/9/20, 34, 29, 24, 19, , 
2022/9/21, 27, 30, 30, 18, , 
2022/9/22, 23, 33, 34, 18, , 
2022/9/23, 28, 35, 26, 23, 1, 
2022/9/24, 25, 31, 31, 11, 2, 
2022/9/25, 18, 14, 25, 12, 2, 
2022/9/26, 15, 17, 27, 12, 2, 
2022/9/27, 15, 20, 24, 17, 1, 
2022/9/28, 17, 23, 21, 8, 1, 
2022/9/29, 14, 23, 20, 4, 1, 
2022/9/30, 13, 21, 22, 9, 1, 
2022/5/3, 52, 23, 26, 19, , 
2022/5/4, 52, 28, 11, 23, , 
2022/5/5, 42, 27, 22, 24, , 
2022/5/6, 38, 23, 28, 27, , 
2022/5/7, 28, 27, 25, 23, , 
2022/5/8, 32, 27, 32, 27, , 
2022/5/9, 35, 29, 31, 30, , 
2022/5/10, 39, 42, 33, 32, 1, 
2022/5/11, 39, 42, 31, 21, , 
2022/5/12, 45, 51, 25, 27, , 
2022/5/13, 47, 44, 29, 29, , 
2022/5/14, 48, 50, 34, 26, , 
2022/5/15, 39, 39, 33, 25, , 
2022/5/16, 44, 44, 31, 29, , 
2022/5/17, 59, 49, 25, 28, , 
2022/5/18, 65, 47, 26, 31, , 
2022/5/19, 63, 50, 24, 19, 1, 
2022/5/20, 52, 40, 12, 39, 1, 
2022/5/21, 49, , 30, 27, 1, 
2022/5/22, 38, , 33, 24, 1, 
2022/5/23, 39, , 30, 22, 1, 
2022/5/24, 37, 32, 23, 17, 1, 
2022/5/25, 21, 18, 14, 14, 1, 
2022/5/26, 11, 16, 24, 23, 1, 
2022/5/27, 22, 27, 26, 31, , 
2022/5/28, 34, 38, 21, 33, , 
2022/5/29, 40, 30, 30, 18, , 
2022/5/30, 33, 24, 35, 19, , 
2022/5/31, 27, 30, 29, 26, , 
2022/6/1, 44, 35, 24, 23, , 
2022/6/2, 56, 45, 25, 18, , 
2022/6/3, 55, 34, 23, 18, , 
2022/6/4, 66, 42, 23, 20, , 
2022/6/5, 56, 35, 29, 11, , 
2022/6/6, 46, 29, 30, 9, , 
2022/6/7, 40, 33, 30, 23, , 
2022/6/8, 37, 29, 27, 15, , 
2022/6/9, 29, 26, 20, 13, , 
2022/6/10, 34, 32, 21, 15, , 
2022/6/11, 31, 38, 26, 22, , 
2022/6/12, 29, 36, 30, 28, , 
2022/6/13, 30, 39, 24, 28, 1, 
2022/6/14, 23, 49, 25, 35, 1, 
2022/6/15, 28, , 28, 31, 1, 
2022/6/16, 34, 45, 19, 35, 1, 
2022/6/17, 30, 32, 39, 36, 1, 
2022/6/18, 42, 36, 47, 25, , 
2022/6/19, 49, 28, 37, 7, , 
2022/6/20, 51, 33, 34, 21, , 
2022/6/21, 57, 47, 19, 24, , 
2022/6/22, 59, 46, 29, 18, , 
2022/6/23, 57, 42, 28, 17, 1, 
2022/1/3, 79, 33, 2, 27, , 
2022/1/4, 80, 27, 12, 19, , 
2022/1/5, 58, 13, 18, 10, , 
2022/1/6, 26, 13, 18, 20, , 
2022/1/7, 19, 15, 21, 14, , 
2022/1/8, 21, 12, 23, 9, , 
2022/1/9, 13, 14, 15, 24, , 
2022/1/10, 18, 19, 10, 27, , 
2022/1/11, 36, 26, 16, 19, , 
2022/1/12, 39, 27, 8, 30, , 
2022/1/13, 49, 31, 12, 35, , 
2022/1/14, 53, 24, 22, 15, , 
2022/1/15, 52, 24, 15, 22, , 
2022/1/16, 66, 24, 21, 20, , 
2022/1/17, 63, 28, 15, 22, , 
2022/1/18, 64, 28, 10, 27, , 
2022/1/19, 65, 31, 13, 27, , 
2022/1/20, 91, 26, 10, 20, , 
2022/1/21, 83, 22, 17, 15, , 
2022/1/22, 59, 27, 19, 27, , 
2022/1/23, 53, 28, 13, 35, , 
2022/1/24, 55, 36, 12, 37, , 
2022/1/25, 64, 34, 14, 36, 1, 
2022/1/26, 72, 41, 16, 41, 1, 
2022/1/27, 64, 46, 11, 35, 1, 
2022/1/28, 71, 50, 12, 31, 1, 
2022/1/29, 77, 42, 23, 27, 1, 
2022/1/30, 77, 36, 16, 26, , 
2022/1/31, 73, 41, 19, 25, , 
2022/2/1, 67, 34, 22, 26, , 
2022/2/2, 31, 47, 9, 34, 1, 
2022/2/3, 52, 39, 12, 31, , 
2022/2/4, 61, 31, 14, 20, , 
2022/2/5, 64, 27, 23, 14, , 
2022/2/6, 70, 23, 18, 23, 1, 
2022/2/7, 39, 43, 21, 28, , 
2022/2/8, 39, 30, 24, 23, , 
2022/2/9, 45, 35, 23, 32, , 
2022/2/10, 40, 47, 17, 36, , 
2022/2/11, 56, 41, 22, 18, , 
2022/2/12, 57, 25, 33, 17, , 
2022/2/13, 40, 29, 30, 15, , 
2022/2/14, 40, 22, 20, 16, , 
2022/2/15, 22, 26, 15, 23, 1, 
2022/2/16, 26, 37, 13, 27, , 
2022/2/17, 34, 44, 24, 24, , 
2022/2/18, 53, 36, 17, 18, , 
2022/2/19, 57, 18, 23, 12, , 
2022/2/20, 35, 23, 23, 22, , 
2022/2/21, 27, 33, 20, 20, , 
2022/2/22, 31, 42, 26, 21, , 
2022/2/23, 44, 33, 27, 23, , 
2022/2/24, 40, 33, 16, 27, , 
2022/2/25, 40, 26, 27, 15, , 
2022/2/26, 30, 24, 31, 22, , 
2022/2/27, 22, 21, 28, 20, , 
2022/2/28, 18, 24, 31, 22, , 
2022/3/1, 29, 31, 20, 28, , 
2022/3/2, 52, 27, 27, 17, 1, 
2022/3/3, 64, 24, 22, 28, 2, 
2022/3/4, 51, 24, 27, 12, 2, 
2022/3/5, 44, 17, 25, 13, 1, 
2022/3/6, 21, 19, 27, 20, 1, 
2022/3/7, 45, 22, 17, 31, , 
2022/3/8, 52, 18, 28, 26, , 
2022/3/9, 42, 20, 27, 29, , 
2022/3/10, 45, 21, 18, 28, , 
2022/3/11, 44, 11, , 19, , 
2021/11/9, 23, 28, 21, 23, 1, 
2021/11/11, 21, 19, 21, 18, 1, 
2021/11/12, 27, 23, 11, 27, 1, 
2021/11/13, 34, 25, 15, 22, 1, 
2021/11/14, 42, 22, 17, 14, 1, 
2021/11/15, 36, 18, 10, 19, 1, 
2021/11/16, 38, 23, 10, 19, 1, 
2021/11/17, 38, 19, 10, 21, 1, 
2021/11/18, 48, 26, 6, 26, 1, 
2021/11/20, 65, 32, 4, 33, 1, 
2021/11/23, 27, 19, 14, 19, , 
2021/11/25, 17, 15, 14, 25, , 
2021/11/26, 22, 13, 14, 14, , 
2021/11/27, 15, 11, 17, 11, , 
2021/11/28, 9, 10, 21, 8, , 
2021/11/29, 11, 13, 18, 23, , 
2021/11/30, 21, 26, 7, 33, 1, 
2021/12/1, 27, 22, 9, 20, 1, 
2021/12/2, 37, 13, 14, 18, , 
2021/12/3, 21, 16, 19, 25, , 
2021/12/4, 18, 21, 19, 16, , 
2021/12/5, 10, 12, 26, 8, , 
2021/12/6, 7, 11, 22, 16, , 
2021/12/7, 19, 21, 12, 30, 1, 
2021/12/8, 15, 21, 27, 12, , 
2021/12/9, 7, 11, 27, 14, , 
2021/12/10, 11, 13, 21, 14, , 
2021/12/11, 12, 18, 18, 25, , 
2021/12/12, 26, 21, 16, 21, , 
2021/12/13, 47, 20, 9, 30, 1, 
2021/12/14, 55, 31, 6, 30, 1, 
2021/12/15, 72, 42, 1, 40, 2, 
2021/12/16, 60, 48, 6, 35, 1, 
2021/12/17, 80, 36, 7, 24, 1, 
2021/12/18, 76, 27, 8, 27, 1, 
2021/12/19, 77, 24, 17, 24, 1, 
2021/12/20, 56, 19, 12, 18, 1, 
2021/12/21, 49, 24, 9, 21, 1, 
2021/12/22, 76, 36, 3, 22, 1, 
2021/12/23, 73, 29, 3, 22, , 
2021/12/24, 61, 24, 5, 23, , 
2021/12/25, 53, 23, 16, 18, , 
2021/12/26, 24, 15, 13, 17, , 
2021/12/27, 19, 13, 21, 14, , 
2021/12/28, 16, 18, 21, 12, , 
2021/12/29, 15, 20, 18, 19, 1, 
2021/12/30, 22, 34, 5, 30, 1, 
2021/12/31, 36, 41, 1, 31, 2, 
2022/1/1, 59, 30, 13, 17, , 
2022/1/2, 66, 20, 16, 15, , 
2024/8/6, , 20, 28, 13, , 
2024/6/2, , 20, 28, 13, 1, 
2023/3/31, , 30, 31, 9, , 
2023/4/7, , 17, 37, 7, , 
2023/4/8, , 17, 38, 11, , 
2023/4/9, , 18, 27, 15, , 
2023/4/10, , 22, 28, 17, , 
2023/4/11, , 27, 30, 22, , 
2023/4/12, , 26, 30, 9, 10, 
2023/4/19, , 40, 29, 19, , 
2022/7/1, , 27, 23, 15, , 
2022/7/2, , 24, 29, 21, , 
2022/7/3, , 30, 28, 26, , 
2022/7/4, , 29, 35, 23, , 
2022/7/5, , 32, 34, 24, , 
2022/7/6, , 37, 28, 24, , 
2022/7/7, , 31, 31, 17, , 
2022/7/8, , 33, 29, 20, , 
2022/7/9, , 32, 40, 24, , 
2022/7/10, , 30, 41, 25, , 
2022/7/11, , 27, 39, 22, , 
2022/7/17, , 36, 47, 23, , 
2022/7/18, , 31, 30, 21, , 
2022/7/19, , 31, 21, 19, , 
2022/8/24, , 24, 23, 15, , 
2022/8/27, , 23, 36, 14, , 
2022/9/6, , 43, 18, 15, , 
2022/4/1, , 13, , 8, , 
2022/4/2, , 12, , 12, , 
2022/4/3, , 12, , 12, , 
2022/4/4, , 15, , 16, , 
2022/4/5, , 20, , 23, , 
2022/4/6, , 26, , 25, , 
2022/4/7, , 36, , 23, , 
2022/4/8, , 30, , 18, , 
2022/4/9, , 26, , 11, , 
2022/4/10, , 21, , 8, , 
2022/4/11, , 27, , 14, , 
2022/4/12, , 31, , 11, , 
2022/4/13, , 18, , 13, 1, 
2022/4/14, , 32, , 22, 1, 
2022/4/15, , 32, , 28, 1, 
2022/4/16, , 32, , 22, 1, 
2022/4/17, , 30, , 16, , 
2022/4/18, , 27, , 17, , 
2022/4/19, , 27, , 24, 1, 
2022/4/20, , 22, , 14, 1, 
2022/4/21, , 13, , 18, , 
2022/4/22, , 22, , 18, 1, 
2022/4/23, , 23, , 14, 1, 
2022/4/24, , 15, , 8, 2, 
2022/4/25, , 21, , 20, 2, 
2022/4/26, , 23, , 25, 2, 
2022/4/27, , 26, , 32, 3, 
2022/4/28, , 31, , 27, 2, 
2022/4/29, , 34, , 35, 1, 
2022/4/30, , 29, , 25, , 
2022/5/1, , 22, , 13, , 
2022/5/2, , 22, 28, 20, , 
2022/6/24, , 53, 34, 11, , 
2022/6/25, , 22, 30, 12, , 
2022/6/26, , 25, 27, 11, , 
2022/6/27, , 29, 21, 15, , 
2022/6/28, , 22, 28, 13, , 
2022/6/29, , 33, 22, 18, , 
2022/6/30, , 34, 27, 15, , 
2022/3/12, , 15, , 19, , 
2022/3/13, , 27, , 10, , 
2022/3/14, , 48, , 10, , 
2022/3/15, , 39, , 11, , 
2022/3/16, , 38, , 13, , 
2022/3/17, , 46, , 14, , 
2022/3/18, , 33, , 16, , 
2022/3/19, , 31, , 12, , 
2022/3/20, , 34, , 10, , 
2022/3/21, , 33, , 13, , 
2022/3/22, , 29, , 18, , 
2022/3/23, , 29, , 21, , 
2022/3/24, , 32, , 17, , 
2022/3/25, , 25, , 15, , 
2022/3/26, , 40, , 13, , 
2022/3/27, , 46, , 35, 1, 
2022/3/28, , 45, , 23, , 
2022/3/29, , 27, , 19, , 
2022/3/30, , 17, , 16, , 
2022/3/31, , 8, , 13, , 
2021/10/4, , 13, 16, 16, , 
2021/10/5, , 17, 18, 21, , 
2021/10/6, , 20, 21, 22, , 
2021/10/7, , 19, 11, 24, , 
2021/10/30, , 26, , 17, , 
2021/10/31, , 19, , 15, , 
2021/11/1, , 8, , 13, , 
2021/11/2, , 11, , 15, , 
2021/11/3, , 10, , 15, , 
2021/11/4, , 13, , 19, , 
2021/11/5, , 16, , 22, 1, 
2021/11/6, , 9, 17, 17, , 
2021/11/7, , 18, 18, 18, 1, 
2021/11/8, , 23, 9, 33, 1, 
2021/11/10, , 23, 21, 21, 1, 
2021/11/19, , 33, 4, 34, 2, 
2021/11/21, , 30, 18, 25, 1, 
2021/11/22, , 21, 13, 20, 1, 
2021/11/24, , 15, 20, 23, , 
2021/7/1, , 25, 26, 17, , 
2021/7/2, , 27, 26, 12, , 
2021/7/3, , 28, 30, 11, , 
2021/7/4, , 29, 23, 15, , 
2021/7/5, , 19, 25, 14, , 
2021/7/6, , 26, 21, 17, , 
2021/7/7, , 24, 25, 19, , 
2021/7/8, , 26, 22, 13, , 
2021/7/9, , 27, 28, 11, , 
2021/7/10, , 28, 27, 15, , 
2021/7/11, , 26, 22, 15, , 
2021/7/12, , 11, 16, 12, , 
2021/7/14, , 27, 2, 14, , 
2021/7/15, , 23, 26, 14, , 
2021/7/16, , 23, 27, 10, , 
2021/7/17, , 23, 33, 9, , 
2021/7/18, , 20, 29, 21, , 
2021/7/19, , 26, 26, 19, , 
2021/7/20, , 33, 24, 22, , 
2021/7/21, , 31, 27, 25, , 
2021/7/22, , 32, 26, 24, , 
2021/7/23, , 33, 31, 17, , 
2021/7/24, , 31, 31, 11, , 
2021/7/25, , 29, 26, 18, , 
2021/7/26, , 24, 28, 12, , 
2021/7/27, , 25, 36, 12, , 
2021/7/28, , 25, 29, 16, , 
2021/7/29, , 20, 27, 16, , 
2021/7/30, , 30, 24, 10, , 
2021/7/31, , 25, 24, 8, , 
2021/8/1, , 14, 22, 14, , 
2021/8/2, , 14, 24, 14, , 
2021/8/3, , 17, 27, 15, , 
2021/8/4, , 19, 27, 13, , 
2021/8/5, , 18, 23, 10, , 
2021/8/6, , 21, 29, 11, , 
2021/8/7, , 24, 26, 7, , 
2021/8/10, , 22, 26, 27, , 
2021/8/11, , 27, 34, 25, , 
2021/8/12, , 33, 29, 22, , 
2021/8/13, , 33, 27, 23, , 
2021/8/14, , 39, 30, 12, , 
2021/8/15, , 55, 26, 12, , 
2021/8/16, , 41, 26, 11, , 
2021/8/17, , 26, 29, 13, , 
2021/8/18, , 7, 24, 14, , 
2021/8/19, , 7, 25, 16, , 
2021/8/20, , 8, 27, 8, , 
2021/8/21, , 28, 31, 15, , 
2021/8/22, , 21, 23, 17, , 
2021/8/23, , 19, 27, 14, , 
2021/8/24, , 17, 31, 17, , 
2021/8/25, , 14, 31, 15, , 
2021/8/26, , 15, 35, 19, , 
2021/8/27, , 18, 31, 10, , 
2021/8/28, , 18, 31, 11, , 
2021/8/29, , 15, 21, 20, , 
2021/8/30, , 15, 27, 22, , 
2021/8/31, , 17, 29, 19, , 
2021/9/1, , 17, 27, 21, , 
2021/9/2, , 18, 31, 26, , 
2021/9/3, , 19, 31, 16, , 
2021/9/4, , 17, 29, 10, , 
2021/9/5, , 17, 23, 16, , 
2021/9/6, , 19, 22, 21, , 
2021/9/7, , 18, 31, 23, , 
2021/9/8, , 18, 34, 16, , 
2021/9/9, , 22, 27, 23, , 
2021/9/10, , 23, 34, 14, , 
2021/9/11, , 17, 26, 16, , 
2021/9/12, , 15, 24, 17, , 
2021/9/13, , 17, 27, 19, , 
2021/9/14, , 19, 25, 17, , 
2021/9/15, , 23, 24, 20, , 
2021/9/16, , 22, 26, 16, , 
2021/9/17, , 20, 25, 16, , 
2021/9/18, , 26, 22, 10, , 
2021/9/19, , 20, 19, 21, , 
2021/9/20, , 18, 15, 23, , 
2021/9/21, , 19, 26, 23, , 
2021/9/22, , 24, 29, 28, 1, 
2021/9/23, , 25, 31, 19, 1, 
2021/9/24, , 25, 24, 22, 1, 
2021/9/25, , 38, 32, 14, 1, 
2021/9/26, , 45, 16, 23, 1, 
2021/9/27, , 31, , 15, 1, 
2021/4/1, , 37, 38, 15, , 
2021/4/2, , 30, 36, 20, , 
2021/4/3, , 26, 29, 12, , 
2021/4/4, , 32, 32, 14, , 
2021/4/5, , 31, 25, 16, , 
2021/4/6, , 37, 26, 15, , 
2021/4/7, , 34, 24, 12, , 
2021/4/8, , 30, , 18, , 
2021/4/9, , 25, , 18, , 
2021/4/10, , 22, 25, 12, , 
2021/4/11, , 19, 26, 12, , 
2021/4/12, , 15, 26, 17, 1, 
2021/4/14, , 21, 34, 18, 1, 
2021/4/15, , 20, 29, 16, 1, 
2021/4/16, , 22, 32, 10, 1, 
2021/4/17, , 18, 33, 9, 1, 
2021/4/18, , 17, 35, 18, 1, 
2021/4/19, , 25, 38, 19, 1, 
2021/4/20, , 25, 35, 18, , 
2021/4/21, , 20, 35, 18, , 
2021/4/22, , 17, 35, 23, , 
2021/4/23, , 22, 38, 19, , 
2021/4/24, , 21, 41, 13, , 
2021/4/25, , 18, 36, 19, , 
2021/4/26, , 19, 27, 21, , 
2021/4/27, , 24, 27, 20, , 
2021/4/28, , 25, 27, 13, , 
2021/4/29, , 20, 25, 16, , 
2021/4/30, , 20, 24, 9, , 
2021/5/1, , 15, 34, 8, , 
2021/5/2, , 13, 28, 21, , 
2021/5/3, , 15, 30, 15, , 
2021/5/4, , 16, 34, 16, , 
2021/5/5, , 22, 26, 14, , 
2021/5/6, , 25, 24, 16, , 
2021/5/7, , 29, 31, 12, , 
2021/5/8, , 24, 29, 12, , 
2021/5/9, , 25, 24, 19, , 
2021/5/10, , 31, 29, 9, , 
2021/5/11, , 20, 25, 16, , 
2021/5/12, , 20, 26, 10, , 
2021/5/13, , 23, 22, 15, , 
2021/5/14, , 21, 29, 14, , 
2021/5/15, , 26, 28, 14, , 
2021/5/16, , 23, 20, 14, , 
2021/5/17, , 21, 21, 15, , 
2021/5/18, , 27, 21, 15, , 
2021/5/19, , 28, 24, 15, , 
2021/5/20, , 33, 24, 16, , 
2021/5/21, , 26, 26, 10, , 
2021/5/22, , 24, 25, 14, , 
2021/5/23, , 21, 27, 8, , 
2021/5/24, , 20, 26, 15, , 
2021/5/25, , 27, 21, 17, 1, 
2021/5/26, , 33, 26, 21, 1, 
2021/5/27, , 34, 28, 26, 1, 
2021/5/28, , 34, 28, 22, 1, 
2021/5/29, , 35, 12, 18, 1, 
2021/5/30, , 30, 25, 21, , 
2021/5/31, , 23, 26, 21, , 
